age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
35,services,married,secondary,True,4170,True,True,unknown,20,,1777,1,-1,0,unknown,True
34,technician,single,secondary,True,85,True,True,unknown,20,,1182,4,-1,0,unknown,True
31,admin.,single,secondary,True,431,True,True,unknown,20,,1045,1,-1,0,unknown,True
44,technician,divorced,secondary,True,982,True,True,unknown,20,,650,3,-1,0,unknown,True
36,blue-collar,married,primary,True,408,True,True,unknown,20,,1063,2,-1,0,unknown,True
35,blue-collar,married,unknown,True,4822,True,True,unknown,20,,843,2,-1,0,unknown,True
41,blue-collar,married,primary,True,1250,True,True,unknown,20,,1392,2,-1,0,unknown,True
31,blue-collar,single,primary,True,216,True,True,unknown,21,,565,1,-1,0,unknown,True
34,blue-collar,married,secondary,True,1207,True,True,unknown,21,,905,1,-1,0,unknown,True
32,technician,married,secondary,True,791,True,True,unknown,21,,783,2,-1,0,unknown,True
36,management,married,tertiary,True,849,True,True,unknown,21,,958,2,-1,0,unknown,True
30,blue-collar,single,secondary,True,239,True,True,unknown,21,,412,1,-1,0,unknown,True
37,technician,single,secondary,True,1211,True,True,unknown,21,,795,1,-1,0,unknown,True
36,blue-collar,married,primary,True,599,True,True,unknown,21,,649,2,-1,0,unknown,True
31,management,single,tertiary,True,825,True,True,unknown,21,,506,2,-1,0,unknown,True
27,technician,married,secondary,True,2183,True,True,unknown,21,,857,1,-1,0,unknown,True
34,retired,married,primary,True,4499,True,True,unknown,21,,1681,1,-1,0,unknown,True
30,technician,single,tertiary,True,1289,True,True,unknown,21,,1697,2,-1,0,unknown,True
32,technician,single,tertiary,True,4665,True,True,unknown,21,,860,2,-1,0,unknown,True
37,technician,single,secondary,True,3326,True,True,unknown,21,,799,1,-1,0,unknown,True
32,blue-collar,married,secondary,True,783,True,True,unknown,21,,923,3,-1,0,unknown,True
33,blue-collar,married,secondary,True,0,True,True,unknown,21,,521,3,-1,0,unknown,True
35,blue-collar,married,primary,True,994,True,True,unknown,23,,1349,8,-1,0,unknown,True
35,self-employed,divorced,tertiary,True,1354,True,True,unknown,23,,736,2,-1,0,unknown,True
30,blue-collar,single,secondary,True,239,True,True,unknown,23,,785,1,-1,0,unknown,True
45,blue-collar,divorced,primary,True,-311,True,True,unknown,23,,1030,1,-1,0,unknown,True
45,admin.,married,secondary,True,149,True,True,unknown,23,,893,3,-1,0,unknown,True
33,blue-collar,married,secondary,True,1464,True,True,unknown,23,,588,3,-1,0,unknown,True
44,management,divorced,tertiary,True,5773,True,True,unknown,23,,597,6,-1,0,unknown,True
40,blue-collar,married,primary,True,278,True,True,unknown,23,,1015,3,-1,0,unknown,True
31,blue-collar,married,secondary,True,2910,True,True,unknown,23,,1392,2,-1,0,unknown,True
30,technician,married,tertiary,True,541,True,True,unknown,26,,414,2,-1,0,unknown,True
44,technician,divorced,secondary,True,1262,True,True,unknown,26,,788,11,-1,0,unknown,True
34,services,married,secondary,True,-538,True,True,unknown,26,,682,1,-1,0,unknown,True
37,blue-collar,married,secondary,True,125,True,True,unknown,26,,679,2,-1,0,unknown,True
28,self-employed,single,tertiary,True,0,True,True,unknown,26,,1560,2,-1,0,unknown,True
32,admin.,single,secondary,True,620,True,True,unknown,26,,1234,3,-1,0,unknown,True
37,blue-collar,divorced,secondary,True,316,True,True,unknown,26,,642,2,-1,0,unknown,True
34,management,married,tertiary,True,2287,True,True,unknown,26,,895,4,-1,0,unknown,True
38,admin.,divorced,secondary,True,198,True,True,unknown,26,,431,2,-1,0,unknown,True
28,admin.,single,secondary,True,460,True,True,unknown,26,,741,6,-1,0,unknown,True
31,management,divorced,tertiary,True,1145,True,True,unknown,26,,1272,4,-1,0,unknown,True
59,services,married,secondary,True,-22,True,True,unknown,26,,748,3,-1,0,unknown,True
24,blue-collar,married,secondary,True,685,True,True,unknown,26,,896,3,-1,0,unknown,True
26,services,single,secondary,True,901,True,True,unknown,26,,764,2,-1,0,unknown,True
59,retired,single,secondary,True,351,True,True,unknown,27,,1063,5,-1,0,unknown,True
30,entrepreneur,single,primary,True,0,True,True,unknown,27,,1051,1,-1,0,unknown,True
37,admin.,married,secondary,True,274,True,True,unknown,27,,731,3,-1,0,unknown,True
30,admin.,single,secondary,True,-213,True,True,unknown,27,,751,1,-1,0,unknown,True
25,blue-collar,married,secondary,True,97,True,True,unknown,27,,709,1,-1,0,unknown,True
44,services,divorced,secondary,True,51,True,True,unknown,27,,3094,2,-1,0,unknown,True
29,management,married,tertiary,True,314,True,True,unknown,28,,938,2,-1,0,unknown,True
26,management,single,tertiary,True,6840,True,True,unknown,28,,1560,2,-1,0,unknown,True
26,technician,single,secondary,True,668,True,True,unknown,28,,576,3,-1,0,unknown,True
27,services,single,secondary,True,54,True,True,unknown,28,,543,2,-1,0,unknown,True
25,self-employed,single,secondary,True,1242,True,True,unknown,28,,615,2,-1,0,unknown,True
28,management,married,secondary,True,292,True,True,unknown,28,,507,1,-1,0,unknown,True
23,services,single,secondary,True,665,True,True,unknown,28,,1183,1,-1,0,unknown,True
34,management,single,tertiary,True,1058,True,True,unknown,28,,864,2,-1,0,unknown,True
28,student,single,secondary,True,949,True,True,unknown,28,,1730,1,-1,0,unknown,True
51,entrepreneur,married,unknown,True,606,True,True,unknown,28,,560,9,-1,0,unknown,True
35,blue-collar,married,secondary,True,0,True,True,unknown,29,,543,1,-1,0,unknown,True
35,admin.,married,secondary,True,404,True,True,unknown,29,,539,1,-1,0,unknown,True
56,blue-collar,married,secondary,True,249,True,True,unknown,29,,791,2,-1,0,unknown,True
45,unemployed,divorced,secondary,True,3354,True,True,unknown,29,,746,1,-1,0,unknown,True
60,blue-collar,divorced,secondary,True,0,True,True,unknown,29,,1207,1,-1,0,unknown,True
56,technician,married,secondary,True,589,True,True,unknown,29,,535,2,-1,0,unknown,True
27,management,single,tertiary,True,12956,True,True,unknown,29,,789,3,-1,0,unknown,True
30,admin.,married,secondary,True,873,True,True,unknown,29,,792,3,-1,0,unknown,True
45,blue-collar,divorced,primary,True,594,True,True,unknown,29,,833,2,-1,0,unknown,True
29,blue-collar,single,secondary,True,-20,True,True,unknown,29,,814,2,-1,0,unknown,True
38,management,divorced,tertiary,True,4692,True,True,unknown,29,,1363,2,-1,0,unknown,True
30,blue-collar,married,secondary,True,486,True,True,unknown,29,,1109,3,-1,0,unknown,True
44,blue-collar,single,primary,True,1593,True,True,unknown,29,,828,3,-1,0,unknown,True
36,management,single,tertiary,True,7606,True,True,unknown,30,,917,1,-1,0,unknown,True
38,technician,married,secondary,True,226,True,True,unknown,30,,762,3,-1,0,unknown,True
36,blue-collar,single,secondary,True,366,True,True,unknown,30,,1133,2,-1,0,unknown,True
37,management,divorced,secondary,True,16,True,True,unknown,30,,638,1,-1,0,unknown,True
35,management,single,tertiary,True,565,True,True,unknown,30,,763,1,-1,0,unknown,True
38,admin.,divorced,secondary,True,19,True,True,unknown,30,,604,2,-1,0,unknown,True
40,services,married,primary,True,1082,True,True,unknown,30,,854,2,-1,0,unknown,True
42,unemployed,divorced,secondary,True,1713,True,True,unknown,30,,855,2,-1,0,unknown,True
46,management,divorced,tertiary,True,14481,True,True,unknown,30,,1269,1,-1,0,unknown,True
35,technician,divorced,secondary,True,5724,True,True,unknown,30,,691,10,-1,0,unknown,True
34,technician,divorced,secondary,True,1451,True,True,unknown,30,,1097,15,-1,0,unknown,True
32,services,married,secondary,True,-34,True,True,unknown,30,,1236,2,-1,0,unknown,True
50,unemployed,married,secondary,True,3674,True,True,unknown,30,,886,3,-1,0,unknown,True
35,blue-collar,married,secondary,True,698,True,True,unknown,30,,1343,3,-1,0,unknown,True
36,technician,single,secondary,True,4136,True,True,unknown,30,,812,3,-1,0,unknown,True
53,blue-collar,divorced,primary,True,2656,True,True,unknown,30,,1980,2,-1,0,unknown,True
46,management,single,tertiary,True,2904,True,True,unknown,30,,984,2,-1,0,unknown,True
26,management,single,tertiary,True,1004,True,True,unknown,30,,228,2,-1,0,unknown,True
45,technician,single,secondary,True,410,True,True,unknown,30,,891,4,-1,0,unknown,True
31,unemployed,divorced,primary,True,0,True,True,unknown,30,,745,12,-1,0,unknown,True
29,management,single,tertiary,True,0,True,True,unknown,30,,539,12,-1,0,unknown,True
53,entrepreneur,single,secondary,True,62,True,True,unknown,30,,1044,5,-1,0,unknown,True
27,blue-collar,married,primary,True,416,True,True,unknown,30,,1193,2,-1,0,unknown,True
39,management,married,tertiary,True,2763,True,True,unknown,2,,526,2,-1,0,unknown,True
36,services,married,secondary,True,2984,True,True,unknown,2,,394,1,-1,0,unknown,True
41,blue-collar,married,primary,True,143,True,True,unknown,2,,659,2,-1,0,unknown,True
36,services,married,primary,True,0,True,True,unknown,2,,1036,1,-1,0,unknown,True
32,technician,married,secondary,True,696,True,True,unknown,2,,815,1,-1,0,unknown,True
35,services,married,secondary,True,152,True,True,unknown,2,,563,1,-1,0,unknown,True
36,management,single,tertiary,True,-78,True,True,unknown,2,,1068,1,-1,0,unknown,True
35,management,married,tertiary,True,867,True,True,unknown,2,,230,3,-1,0,unknown,True
30,blue-collar,single,secondary,True,953,True,True,unknown,2,,747,2,-1,0,unknown,True
42,blue-collar,married,secondary,True,443,True,True,unknown,2,,671,5,-1,0,unknown,True
42,technician,single,secondary,True,-1129,True,True,unknown,2,,555,5,-1,0,unknown,True
32,blue-collar,married,primary,True,415,True,True,unknown,2,,777,4,-1,0,unknown,True
29,blue-collar,single,secondary,True,260,True,True,unknown,2,,707,14,-1,0,unknown,True
44,management,divorced,tertiary,True,-411,True,True,unknown,2,,432,4,-1,0,unknown,True
32,technician,single,secondary,True,1279,True,True,unknown,3,,1173,3,-1,0,unknown,True
31,unemployed,married,secondary,True,86,True,True,unknown,3,,963,2,-1,0,unknown,True
40,self-employed,married,secondary,True,-754,True,True,unknown,3,,941,3,-1,0,unknown,True
43,entrepreneur,married,secondary,True,0,True,True,unknown,3,,1025,7,-1,0,unknown,True
27,management,single,secondary,True,178,True,True,unknown,3,,732,2,-1,0,unknown,True
37,services,single,secondary,True,278,True,True,unknown,3,,1045,3,-1,0,unknown,True
23,services,single,secondary,True,425,True,True,unknown,3,,768,1,-1,0,unknown,True
25,management,married,primary,True,168,True,True,unknown,3,,801,1,-1,0,unknown,True
26,blue-collar,single,secondary,True,-36,True,True,unknown,3,,482,2,-1,0,unknown,True
47,blue-collar,divorced,primary,True,126,True,True,unknown,3,,2456,2,-1,0,unknown,True
35,admin.,married,secondary,True,-87,True,True,unknown,3,,1363,7,-1,0,unknown,True
32,technician,single,tertiary,True,6281,True,True,unknown,3,,1336,4,-1,0,unknown,True
45,management,divorced,secondary,True,644,True,True,unknown,4,,633,1,-1,0,unknown,True
30,admin.,divorced,secondary,True,377,True,True,unknown,4,,524,15,-1,0,unknown,True
29,services,single,secondary,True,-271,True,True,unknown,4,,578,1,-1,0,unknown,True
38,blue-collar,married,primary,True,5839,True,True,unknown,4,,984,2,-1,0,unknown,True
23,blue-collar,single,secondary,True,492,True,True,unknown,4,,638,1,-1,0,unknown,True
27,management,single,tertiary,True,99,True,True,unknown,4,,767,2,-1,0,unknown,True
27,management,single,tertiary,True,-713,True,True,unknown,4,,525,2,-1,0,unknown,True
29,services,single,secondary,True,32,True,True,unknown,4,,563,1,-1,0,unknown,True
30,self-employed,married,tertiary,True,543,True,True,unknown,4,,1449,6,-1,0,unknown,True
36,blue-collar,married,primary,True,403,True,True,unknown,4,,920,1,-1,0,unknown,True
35,admin.,divorced,secondary,True,437,True,True,unknown,4,,908,1,-1,0,unknown,True
36,blue-collar,married,secondary,True,1772,True,True,unknown,5,,208,1,-1,0,unknown,True
59,retired,divorced,primary,True,-88,True,True,unknown,5,,910,2,-1,0,unknown,True
47,entrepreneur,married,secondary,True,0,True,True,unknown,5,,1446,1,-1,0,unknown,True
58,entrepreneur,married,tertiary,True,853,True,True,unknown,5,,1149,2,-1,0,unknown,True
37,management,single,tertiary,True,240,True,True,unknown,5,,1123,1,-1,0,unknown,True
46,admin.,single,secondary,True,849,True,True,unknown,5,,508,2,-1,0,unknown,True
43,blue-collar,single,secondary,True,318,True,True,unknown,5,,736,2,-1,0,unknown,True
27,management,single,tertiary,True,703,True,True,unknown,5,,590,3,-1,0,unknown,True
38,services,divorced,secondary,True,61,True,True,unknown,5,,636,1,-1,0,unknown,True
53,housemaid,married,primary,True,104,True,True,unknown,5,,701,1,-1,0,unknown,True
47,blue-collar,married,secondary,True,1996,True,True,unknown,5,,761,2,-1,0,unknown,True
56,housemaid,divorced,primary,True,1238,True,True,unknown,5,,1558,1,-1,0,unknown,True
41,housemaid,married,secondary,True,879,True,True,unknown,5,,1053,2,-1,0,unknown,True
29,self-employed,married,secondary,True,425,True,True,unknown,5,,562,15,-1,0,unknown,True
50,technician,married,secondary,True,416,True,True,unknown,5,,494,5,-1,0,unknown,True
45,blue-collar,divorced,primary,True,844,True,True,unknown,5,,1018,3,-1,0,unknown,True
35,blue-collar,married,secondary,True,860,True,True,unknown,5,,884,4,-1,0,unknown,True
26,technician,single,secondary,True,639,True,True,unknown,6,,709,5,-1,0,unknown,True
26,admin.,married,secondary,True,710,True,True,unknown,6,,1276,2,-1,0,unknown,True
37,blue-collar,married,unknown,True,1508,True,True,unknown,6,,381,2,-1,0,unknown,True
30,admin.,single,secondary,True,223,True,True,unknown,6,,862,11,-1,0,unknown,True
38,management,single,tertiary,True,619,True,True,unknown,6,,460,4,-1,0,unknown,True
37,services,divorced,secondary,True,319,True,True,unknown,6,,467,3,-1,0,unknown,True
53,technician,married,secondary,True,480,True,True,unknown,6,,648,2,-1,0,unknown,True
29,blue-collar,single,primary,True,213,True,True,unknown,6,,2653,3,-1,0,unknown,True
35,management,single,tertiary,True,68,True,True,unknown,6,,1085,1,-1,0,unknown,True
28,blue-collar,married,secondary,True,2788,True,True,unknown,6,,369,2,-1,0,unknown,True
55,blue-collar,married,unknown,True,7561,True,True,unknown,6,,685,3,-1,0,unknown,True
49,management,divorced,secondary,True,-46,True,True,unknown,9,,1055,10,-1,0,unknown,True
50,services,married,secondary,True,1595,True,True,unknown,9,,882,1,-1,0,unknown,True
43,management,single,tertiary,True,1046,True,True,unknown,9,,901,1,-1,0,unknown,True
58,self-employed,divorced,tertiary,True,1382,True,True,unknown,9,,700,1,-1,0,unknown,True
38,technician,married,primary,True,217,True,True,unknown,9,,491,6,-1,0,unknown,True
48,blue-collar,divorced,primary,True,183,True,True,unknown,9,,940,1,-1,0,unknown,True
59,management,married,secondary,True,1321,True,True,unknown,9,,3881,3,-1,0,unknown,True
58,blue-collar,married,secondary,True,25,True,True,unknown,9,,486,3,-1,0,unknown,True
36,self-employed,single,tertiary,True,4844,True,True,unknown,9,,1137,3,-1,0,unknown,True
42,entrepreneur,married,tertiary,True,5345,True,True,unknown,11,,878,3,-1,0,unknown,True
41,admin.,single,secondary,True,812,True,True,unknown,11,,583,4,-1,0,unknown,True
42,admin.,married,secondary,True,105,True,True,unknown,11,,1159,4,-1,0,unknown,True
39,management,married,tertiary,True,-190,True,True,unknown,11,,893,8,-1,0,unknown,True
57,housemaid,married,primary,True,625,True,True,unknown,11,,867,1,-1,0,unknown,True
52,retired,married,unknown,True,293,True,True,unknown,11,,706,1,-1,0,unknown,True
59,retired,married,unknown,True,1033,True,True,unknown,11,,1199,1,-1,0,unknown,True
56,blue-collar,married,secondary,True,1210,True,True,unknown,11,,935,1,-1,0,unknown,True
49,management,married,tertiary,True,64,True,True,unknown,11,,586,1,-1,0,unknown,True
35,blue-collar,divorced,unknown,True,164,True,True,unknown,11,,967,2,-1,0,unknown,True
36,unemployed,married,secondary,True,1766,True,True,unknown,11,,595,2,-1,0,unknown,True
40,admin.,single,tertiary,True,1248,True,True,unknown,11,,1290,2,-1,0,unknown,True
55,blue-collar,married,secondary,True,0,True,True,unknown,12,,614,2,-1,0,unknown,True
58,admin.,married,secondary,True,826,True,True,unknown,12,,885,1,-1,0,unknown,True
39,self-employed,married,tertiary,True,2630,True,True,unknown,12,,651,5,-1,0,unknown,True
47,housemaid,single,tertiary,True,3727,True,True,unknown,12,,993,6,-1,0,unknown,True
40,management,married,secondary,True,406,True,True,unknown,12,,577,2,-1,0,unknown,True
35,blue-collar,married,tertiary,True,2999,True,True,unknown,12,,1141,6,-1,0,unknown,True
48,blue-collar,married,secondary,True,1000,True,True,unknown,12,,1268,2,-1,0,unknown,True
48,management,divorced,tertiary,True,503,True,True,unknown,12,,1243,7,-1,0,unknown,True
24,blue-collar,single,secondary,True,-203,True,True,unknown,12,,465,3,-1,0,unknown,True
49,blue-collar,married,primary,True,361,True,True,unknown,16,,513,2,-1,0,unknown,True
36,blue-collar,married,secondary,True,274,True,True,unknown,16,,686,11,-1,0,unknown,True
52,retired,divorced,tertiary,True,3687,True,True,unknown,16,,741,4,-1,0,unknown,True
42,entrepreneur,single,unknown,True,323,True,True,unknown,16,,617,1,-1,0,unknown,True
36,services,married,secondary,True,981,True,True,unknown,16,,1093,1,-1,0,unknown,True
36,blue-collar,divorced,secondary,True,638,True,True,unknown,16,,1395,2,-1,0,unknown,True
48,unemployed,single,tertiary,True,3229,True,True,unknown,16,,1089,1,-1,0,unknown,True
51,management,single,secondary,True,1610,True,True,unknown,16,,1248,3,-1,0,unknown,True
51,blue-collar,married,secondary,True,33,True,True,unknown,16,,721,3,-1,0,unknown,True
46,technician,married,secondary,True,536,True,True,unknown,16,,750,2,-1,0,unknown,True
37,management,married,tertiary,True,0,True,True,unknown,16,,637,6,-1,0,unknown,True
36,entrepreneur,married,tertiary,True,3057,True,True,unknown,16,,2769,4,-1,0,unknown,True
47,management,married,secondary,True,2892,True,True,unknown,17,,556,1,-1,0,unknown,True
40,technician,divorced,tertiary,True,0,True,True,unknown,17,,522,1,-1,0,unknown,True
38,student,single,tertiary,True,3316,True,True,unknown,17,,1345,3,-1,0,unknown,True
40,management,married,secondary,True,106,True,True,unknown,17,,676,2,-1,0,unknown,True
39,blue-collar,married,primary,True,2303,True,True,unknown,17,,775,3,-1,0,unknown,True
60,management,married,tertiary,True,3301,True,True,unknown,17,,2621,3,-1,0,unknown,True
39,self-employed,single,tertiary,True,426,True,True,unknown,18,,1029,1,-1,0,unknown,True
51,services,divorced,secondary,True,9,True,True,unknown,18,,371,2,-1,0,unknown,True
27,admin.,married,secondary,True,-97,True,True,unknown,18,,1528,2,-1,0,unknown,True
41,management,single,tertiary,True,11008,True,True,unknown,18,,1540,1,-1,0,unknown,True
42,blue-collar,single,primary,True,4930,True,True,unknown,18,,973,1,-1,0,unknown,True
41,entrepreneur,married,secondary,True,707,True,True,unknown,18,,707,1,-1,0,unknown,True
33,technician,married,secondary,True,4,True,True,unknown,18,,625,2,-1,0,unknown,True
46,admin.,married,secondary,True,126,True,True,unknown,18,,1255,1,-1,0,unknown,True
